,precision,recall,f1-score,support
anger,0.7780373831775701,0.8181818181818182,0.7976047904191618,407.0
fear,0.7649253731343284,0.7441016333938294,0.7543698252069918,551.0
joy,0.8287037037037037,0.8099547511312217,0.8192219679633868,442.0
sadness,0.7,0.7074468085106383,0.7037037037037037,376.0
accuracy,0.7697072072072072,0.7697072072072072,0.7697072072072072,0.7697072072072072
macro avg,0.7679166150039005,0.769921252804377,0.7687250718233111,1776.0
weighted avg,0.7700575070874568,0.7697072072072072,0.769691230755665,1776.0
