,precision,recall,f1-score,support
anger,0.8543689320388349,0.8648648648648649,0.8595848595848595,407.0
fear,0.8375634517766497,0.8983666061705989,0.8669001751313486,551.0
joy,0.9477611940298507,0.8619909502262444,0.9028436018957345,442.0
sadness,0.8086253369272237,0.7978723404255319,0.8032128514056225,376.0
accuracy,0.8603603603603603,0.8603603603603603,0.8603603603603603,0.8603603603603603
macro avg,0.8620797286931398,0.8557736904218101,0.8581353720043914,1776.0
weighted avg,0.8627135088482939,0.8603603603603603,0.8606857761907881,1776.0
