,precision,recall,f1-score,support
anger,0.8381642512077294,0.8525798525798526,0.8453105968331303,407.0
fear,0.8375,0.8511796733212341,0.8442844284428443,551.0
joy,0.8922018348623854,0.8800904977375565,0.8861047835990888,442.0
sadness,0.8142076502732241,0.7925531914893617,0.8032345013477088,376.0
accuracy,0.8462837837837838,0.8462837837837838,0.8462837837837838,0.8462837837837838
macro avg,0.8455184340858348,0.8441008037820011,0.8447335775556931,1776.0
weighted avg,0.8463348185548719,0.8462837837837838,0.8462368354958486,1776.0
